person_id,first_name,last_name,ssn,date_of_birth,risk_score,flagged,flag_reason
P000035,Stanley,Morris,120-89-3496,1956-12-16,0.14770898837778118,False,
P000036,George,Miller,323-69-5198,1999-12-09,0.2533796196712481,False,
P000037,Yvonne,Castaneda,865-24-3683,1951-10-18,0.29294415460681755,False,
P000038,Christopher,Phillips,419-83-7149,1992-03-01,0.17933088830332547,False,
P000039,Amy,Levine,348-23-5941,1967-09-03,0.27005864781775923,False,
P000040,Laura,Wilson,142-54-9728,1986-04-27,0.18567560264694888,False,
P000041,Henry,Park,112-63-9031,1964-07-16,0.12110777412879972,False,
P000042,Gregory,James,824-29-8135,1989-05-28,0.13522739221721186,False,
P000043,Betty,Best,651-71-8616,1991-08-17,0.18711489860077885,False,
P000044,Robert,Rhodes,188-45-8385,1960-01-15,0.1487726878381912,False,
P000045,Justin,Gallegos,444-13-9098,1988-12-04,0.2701905672624918,False,
P000046,Aaron,Gomez,463-43-6576,1981-01-09,0.15593169760751718,False,
P000047,Christopher,Guerrero,295-20-4954,1964-05-20,0.24401493282083886,False,
P000048,Gerald,Reeves,587-92-9041,2007-11-26,0.18963490991731413,False,
P000049,Cameron,Sanders,326-61-4986,1990-03-29,0.16124120602601769,False,
P000050,Colin,Roberts,863-80-6419,1969-04-11,0.17036210552283365,False,
P000051,Brandon,Taylor,223-34-6169,1966-01-21,0.12391094825101057,False,
P000052,Stephanie,Ballard,856-71-5530,1963-05-17,0.24491700021861032,False,
P000053,Richard,Davis,403-39-6912,2006-12-02,0.13588830873708066,False,
P000054,Jeffrey,Anderson,229-45-1745,1954-09-22,0.29485898622054757,False,
P000055,Madeline,Wright,870-72-2680,1966-11-19,0.2745439469997069,False,
P000056,Linda,Matthews,152-42-8827,1987-05-18,0.12281742814498492,False,
P000057,Steven,Lang,175-83-1878,1990-08-02,0.1303454013901913,False,
P000058,Christopher,Bruce,671-63-4697,1985-09-14,0.25513870793964344,False,
P000059,Christopher,Montgomery,980-85-8025,1995-05-09,0.16107604886387208,False,
P000060,Tanya,Carter,881-36-4457,1988-11-08,0.1529292250580015,False,
P000061,Charles,Ewing,277-80-2229,1975-04-08,0.1313065230886276,False,
P000062,Melinda,Wong,398-14-4792,1987-09-25,0.15762097791873786,False,
P000063,Daryl,Brooks,803-39-5334,1953-12-24,0.25756560532934625,False,
P000064,Ashley,Patel,217-79-4683,1982-09-04,0.22952694468049614,False,
P000065,Sarah,Moore,269-49-5728,1973-11-01,0.18783068973474748,False,
P000066,Christopher,Garcia,378-74-9847,1992-06-23,0.19875904386901685,False,
P000067,Sarah,Anderson,542-51-5102,1999-04-22,0.1051729784776671,False,
P000068,Brenda,Hines,956-83-1339,1986-01-05,0.29991448337549026,False,
P000069,Jeffrey,Black,279-70-9502,1947-12-20,0.23030189788673727,False,
P000070,Elaine,Anderson,750-72-2494,1963-06-14,0.19400207899207034,False,
P000071,Madison,Watson,978-30-6403,1984-10-13,0.18232901795755874,False,
P000072,Lindsey,Ruiz,933-80-1601,1967-08-05,0.19096518172034588,False,
P000073,Kevin,Taylor,891-61-9431,1954-12-31,0.2649854406537402,False,
P000074,Michael,Flores,655-69-7770,1985-02-25,0.11084081707534572,False,
P000075,Patricia,Baker,878-16-4335,1985-07-06,0.1534112476545865,False,
P000076,Kent,Foster,548-99-8941,1998-11-15,0.12428521667252397,False,
P000077,Katherine,Camacho,664-11-7684,1996-10-18,0.11864184025630452,False,
P000078,Nathan,Wheeler,220-92-3522,1956-04-06,0.19967510094143903,False,
P000079,Kelly,Ruiz,594-70-4993,1991-10-02,0.19135729454646272,False,
P000080,Pamela,Mason,713-75-3236,1999-09-23,0.27280538688571765,False,
P000081,Cameron,Williams,448-74-5377,2004-10-29,0.26410989463711565,False,
P000082,James,Gonzalez,693-94-9022,1961-08-23,0.27305211894004855,False,
